vendor_name,normalized_vendor
City of Sherman,City of Sherman
CITY OF SHERMAN,City of Sherman
City of Sidney,City of Sidney
City of Sierra Vista,City of Sierra Vista
CITY OF SOMERSET,City of Somerset
CITY OF ST ANTHONY,City of St. Anthony
City of St Anthony,City of St. Anthony
City of St. Anthony,City of St. Anthony
City of Tallahassee,City of Tallahassee
City of Tampa,City of Tampa
City of Tulare,City of Tulare
City of Tyler,City of Tyler
CITY OF TYLER,City of Tyler
City of Vinita,City of Vinita
City of VINITA,City of Vinita
City of Visalia -,City of Visalia
City of Visalia,City of Visalia
City of Willcox,City of Willcox
"CITY OF WILLISTON, ND",City of Williston ND
City of Winfield,City of Winfield
CITY OF YUMA,"City of Yuma, CO"
Civicorps,Civicorps
"Clackamas Garbage Co., Inc","Clackamas Garbage Co., Inc"
"Clackamas Garbage Co., Inc.","Clackamas Garbage Co., Inc"
Clackamas Garbage,"Clackamas Garbage Co., Inc"
Clean Slate Services,Clean Slate Services
Cleeton Sanitation Service,Cleeton Sanitation Service
"Cleeton Sanitation Service, Co.",Cleeton Sanitation Service
Coastal Compaction,Coastal Compaction
COASTAL WASTE & RECYCLING INC,Coastal Waste & Recycling
Coastal Waste & Recycling,Coastal Waste & Recycling
COASTAL WASTE & RECYCLING,Coastal Waste & Recycling
COGENT WASTE SOLUTIONS LLC,Cogent Waste Solutions
"Coles County Sanitation & Recycling, Inc",Coles County Sanitation & Recycling
"COLLECTION SERVICES, INC.",Collection Services Inc.
Collection Services,Collection Services Inc.
Columbia Containers,Columbia Containers
Columbia County Solid Waste,Columbia County Solid Waste
Columbia Sanitary,Columbia Sanitary
Commercial Sanitation,Commercial Sanitation
Commonwealth Waste Solutions,Commonwealth Waste Solutions
Community Disposal,Community Disposal
COMMUNITY SANITATION,Community Sanitation
"Compaction And Recycling Equipment, Inc.","Compaction and Recycling Equipment, Inc"
COMPACTOR RENTALS OF AMERICA,Compactor Rentals of America
Compactor RENTALS OF AMERICA,Compactor Rentals of America
Compactor Rentals of America,Compactor Rentals of America
CompostNow Inc.,CompostNow Inc.
Conex Recycling,Conex Recycling
Conigliaro Industries,"Conigliaro Industries, Inc"
CONIGLIARO INDUSTRIES,"Conigliaro Industries, Inc"
Consolidated Disposal Services,Consolidated Disposal Services Inc
Contractor's Disposal,Contractor's Disposal Inc.
"CONTROL WASTE SERVICES, LLC","Control Waste Services, LLC"
Cook Maintenance,Cook Maintenance
Cook Sanitation,Cook Sanitation
Coos Bay Sanitary Service,Coos Bay Sanitary Service
"Corporate Services Consultants, LLC","Corporate Services Consultants, LLC"
Corporate Services Consultants,"Corporate Services Consultants, LLC"
Cottage Grove Garbage Service,Cottage Grove Garbage Service Inc.
"COTTAGE GROVE GARBAGE SERVICE, INC.",Cottage Grove Garbage Service Inc.
Countryside Disposal,Countryside Disposal
County HAULING,County Hauling
County Hauling,County Hauling
COUNTY HAULING,County Hauling
COUNTY WASTE SYSTEMS INC,County Waste Systems Inc
Cox Disposal,Cox Disposal
"COX DISPOSAL, INC.",Cox Disposal
CRAM-A-LOT,Cram-A-Lot
Cram A Lot,Cram-A-Lot
Cram - A lot,Cram-A-Lot
Cram-A-Lot,Cram-A-Lot
Cram-a-lot,Cram-A-Lot
CRAM-A-LOT®,Cram-A-Lot
"Craven Ag Services, Inc.","Craven Ag Services, Inc"
Cressman Sanitation,Cressman Sanitation
Crown Waste & Recycling Systems LLC,"Crown Waste & Recycling Systems, LLC"
"Cumberland Services, LLC","Cumberland Services, LLC"
Cumberland Services,"Cumberland Services, LLC"
CURBSIDE SERVICES INC,Curbside Services Inc.
"Curbside Services, Inc",Curbside Services Inc.
Curbside Waste,Curbside Waste Inc.
Cyclyx international,Cyclyx International LLC
Cyclyx International,Cyclyx International LLC
"D&S WASTE REMOVAL, INC.",D & S Waste Removal
"D & S WASTE REMOVAL, INC.",D & S Waste Removal
D & S Waste Removal,D & S Waste Removal
"Dan's Sanitation, Inc.","DAN'S SANITATION, INC"
"DAVID'S TRASH SERVICE, INC.","DAVID'S TRASH SERVICE, INC"
DC Metals,DC Metals
"DC Metals, Inc.",DC Metals
DC Waste & Recycling,"DC Waste & Recycling, Inc"
DISPOSAL MANAGEMENT SERVICES,DISPOSAL MANAGEMENT SERVICES
"Disposal Management Services, Inc.",DISPOSAL MANAGEMENT SERVICES
DTG Recycle,DTG Recycle
Dallas Recycling,Dallas Recycling
Dallas/Fort Worth International Airport Board,Dallas/Fort Worth International Airport Board
"Dan Walker Disposal Service, Inc.",Dan Walker Disposal Service Inc.
Dan's R Us Sanitation,Dan's R Us Sanitation
DARLING INGREDIENTS INC.,Darling Ingredients
"Darob, Inc.",Darob Inc
Dash Mobile Storage,Dash Mobile Storage
Davis Disposal,Davis Disposal
DAVIS DISPOSAL,Davis Disposal
"DAVIS SEPTICS & BACKHOE, INC.","Davis Septics & Backhoe, Inc"
"DAYNE'S WASTE DISPOSAL, INC",Dayne's Waste Disposal
Deep South Sanitation LLC,"Deep South Sanitation, LLC"
Delta Disposal,Delta Disposal
DELTA DISPOSAL,Delta Disposal
Delta Garbage Service,Delta Garbage Service
DELTA WASTE SOLUTIONS,Delta Waste Solutions
Demo Salvage Inc.,"Demo Salvage, Inc."
DENALI REFUSE,Denali Refuse
Dependable Sanitation Inc,Dependable Sanitation Inc
DEPENDABLE SANITATION INC,Dependable Sanitation Inc
Dependable Sanitation,Dependable Sanitation Inc
Derby City Environmental,Derby City Environmental
Desert Green Disposal and Industrial LLC,Desert Green Disposal and Industrial
Desert Valley Disposal,Desert Valley Disposal
Detroit Disposal,Detroit Disposal
Direct Waste Services,Direct Waste Services
"Direct Waste Services, Inc",Direct Waste Services
DISPOSAL SERVICES LLC,"Disposal Services, LLC"
Disposal Services,"Disposal Services, LLC"
Disposal Services LLC,"Disposal Services, LLC"
"Document Destruction of Virginia, LLC",Document Destruction of Virginia
Dodd's Trash Hauling and Recycling,Dodd's Trash Hauling and Recycling Inc.
DOLL'S DISPOSAL LLC,Doll's Disposal
Doll's Disposal LLC,Doll's Disposal
Douglas Disposal Inc.,Douglas Disposal Inc
DOUGLAS DISPOSAL INC,Douglas Disposal Inc
DuMontelle Waste LLC,"DuMontelle Waste, LLC"
DUGGER TRASH SERVICE,Dugger Trash Service
DUNHAM INC.,Dunham Inc
Durflinger Disposal Service,Durflinger Disposal Service
"DURFLINGER DISPOSAL SERVICE, INC.",Durflinger Disposal Service
DYNAMIC WASTE COMPANY,Dynamic Waste Company
Dynamic Waste Company,Dynamic Waste Company
"E.J. HARRISON & SONS, INC",E. J. Harrison & Sons
"E. J. HARRISON & SONS, INC",E. J. Harrison & Sons
"E J HARRISON & SONS, INC",E. J. Harrison & Sons
E.L. HARVEY & SONS INC.,"E.L. Harvey & Sons, Inc."
E.L. Harvey & Sons Inc.,"E.L. Harvey & Sons, Inc."
EAGLE Disposal,EAGLE DISPOSAL
Eagle Disposal Inc.,EAGLE DISPOSAL
Eagle Disposal,EAGLE DISPOSAL
Eagle Rock Sanitation,EAGLE ROCK SANITATION
Ely Disposal,ELY DISPOSAL
Engman Disposal,ENGMAN DISPOSAL
EOMS Recycling,EOMS RECYCLING
"EZ DISPOSAL SERVICE, INC.","EZ Disposal Service, Inc."
EZ Disposal Service,"EZ Disposal Service, Inc."
EZ Disposal Service Inc,"EZ Disposal Service, Inc."
EAGLE EQUIPMENT,Eagle Equipment Corp
"EarthSavers, LLC",EarthSavers LLC
"Earthbound Environmental Solutions, LLC","Earthbound Environmental Solutions, LLC"
Earthwise Waste Solutions,Earthwise Waste Solutions
EAST CENTRAL KANSAS REFUSE,East Central Kansas Refuse
East Coast Paper,East Coast Paper
East Tennessee Junk Away,East Tennessee Junk Away
East Texas Junk Removal,East Texas Junk Removal
Eclipse Waste Management LLC,Eclipse Waste Management LLC
Eco Sanitation LLC,Eco Sanitation
EcoSouth Services,EcoSouth Services
Ecosouth Services,EcoSouth Services
"ECONO WASTE, INC",Econo Waste Inc
Ecotech,Ecotech
ED BURRIS DISPOSAL SERVICE,Ed Burris Disposal Service LLC
Ed Burris Disposal Service LLC,Ed Burris Disposal Service LLC
ED'S disposal,Ed's Disposal Inc
Edge Waste,Edge Waste
EDGE WASTE,Edge Waste
"EDWARD ARNOLD SCRAP PROCESSORS, INC.","Edward Arnold Scrap Processors, Inc"
"Efficient Roll-Off & Recycling, Inc.","Efficient Roll-Off & Recycling, Inc"
Elite Roll-Off Solutions LLC,Elite Roll-Off Solutions LLC
Emery County Sanitation,Emery County Sanitation
"Emfinger Steel Company, Inc.",Emfinger Steel Company Inc
Empire Recycling Corporation,Empire Recycling Corporation
Equipment Enterprises,"Equipment Enterprises, LLC"
ESCONDIDO DISPOSAL INC.,Escondido Disposal
Evergreen Paper Recycling,Evergreen Paper Recycling
EVERGREEN PAPER RECYCLING,Evergreen Paper Recycling
EXCESS DISPOSAL,Excess Disposal
"Excess Disposal, Inc",Excess Disposal
EXPRESS DISPOSAL & RECYCLING LLC,Express Disposal & Recycling
Express Waste,Express Waste
Fayette Waste,FAYETTE WASTE
Fayette Waste LLC,FAYETTE WASTE
"FCC Environmental Services, LLC",FCC Environmental Services
FCC® Environmental Services,FCC Environmental Services
FCC Environmental Services,FCC Environmental Services
First Piedmont,FIRST PIEDMONT
"Family Trash Service, Inc",Family Trash Service Inc
Federal Recycling,Federal Recycling
FEDERAL RECYCLING,Federal Recycling
Ferrell's Disposal Service,"Ferrell's Disposal Service, LLC"
FINOCCHIO BROTHERS INC.,Finocchio Brothers Inc
First Capital Salvage,First Capital Salvage
"FISK WASTE REMOVAL SERVICES, INC.",Fisk Waste Removal Services
Five Star Roll-Off LLC,Five Star Roll Off LLC
Flag Hauling,Flag Hauling LLC
Flash Trash LLC,Flash Trash LLC
FLAT CREEK SOLUTIONS,Flat Creek Solutions
Floaters Portable Sanitation,Floaters Portable Sanitation
Flood Brothers,Flood Brothers Disposal
"Florida Waste Solutions, LLC",Florida Waste Solutions
FLORIDA WASTE SOLUTIONS,Florida Waste Solutions
Florida Waste Solutions,Florida Waste Solutions
Food to Power,Food To Power
Food To Power,Food To Power
FRANKLIN Pallets,Franklin Pallets
Friend's Garbage Service,Friend's Garbage Service LLC
FRIEND'S GARBAGE SERVICE LLC,Friend's Garbage Service LLC
"FRITZ ENTERPRISES, INC.",Fritz Enterprises
Frontier Waste,Frontier Waste
FRONTIER WASTE - AUSTIN,Frontier Waste - Austin
